# --------------------------------------------------
# nrow : 903
# ncol : 11
# comment : RFF predictors
# time_generated : 2025-12-08 12:49:41
# author : ler015
# source_file : /datasets/work/lw-resilient-nr/work/2_Hydrology/2_FloodFrequencyAnalysis/6_covariate_paper/0_DataProcessingScripts/covariate_paper/scripts/data/D040_prepare_rff_predictors.py
# work_dir : /datasets/work/lw-resilient-nr/work/2_Hydrology/2_FloodFrequencyAnalysis/6_covariate_paper/0_DataProcessingScripts/covariate_paper
# python_environment posix
# python_version : 3.12.9 | packaged by conda-forge | (main, Mar  4 2025, 22:48:41) [GCC 13.3.0]
# pandas_version : 2.3.3
# numpy_version : 1.26.4
# python_inc : /datasets/work/lw-resilient-nr/work/0_Common_Data/5_Software/1_Python/conda/envs/env_jl_v2_pet/include/python3.12
# python_lib : /datasets/work/lw-resilient-nr/work/0_Common_Data/5_Software/1_Python/conda/envs/env_jl_v2_pet/lib/python3.12/site-packages
# --------------------------------------------------
STATIONID,PRECIPITATION_IFD_RATIO_AEP50%_2%[mm],CENTER_OZ_METRIC[-],RATIO_OUTLET_DISTANCE_VS_SQRTAREA[-],RATIO_MAXPATH_VS_SQRTAREA[-],ARIDITY_INDEX[-],XCENTROID_EPSG28356[m],YCENTROID_EPSG28356[m],LOG10_CATCHMENTAREA_VALID[km2][-],LOG10_DISTANCE_CENTROID_FROM_COAST[km][-],LOG10_PRECIPITATION_IFD_AEP2%[mm][-],LOG10_PRECIPITATION_IFD_AEP50%[mm][-]
238228,0.40660,-0.30844,0.80078,3.42678,0.51122,-465472.84375,5782708.50000,3.61899,1.89015,1.02531,0.63448
238220,0.41038,-0.30822,0.67361,1.79123,0.50662,-475295.59375,5799119.50000,2.32428,1.97067,1.02531,0.63849
236205,0.38947,-0.30790,0.77383,3.15219,0.59293,-424151.90625,5727835.50000,2.95733,1.43425,1.05690,0.64738
473-1,0.52885,-0.30781,0.50611,2.58039,2.40262,-67184.47656,5211161.00000,2.83822,1.43564,1.01703,0.74036
236212,0.41553,-0.30563,0.98486,3.58227,0.65540,-390857.56250,5702405.50000,2.34830,1.24295,1.01284,0.63144
14223-1,0.52935,-0.30362,0.81362,2.92869,1.03183,-191257.35938,5440786.50000,2.41965,0.95427,0.99476,0.71850
14200-1,0.52843,-0.30266,1.00012,2.83139,1.11854,-180085.17188,5436323.50000,2.48658,1.32040,1.00860,0.73159
238221,0.41455,-0.30262,0.57400,1.86221,0.54029,-442859.25000,5804804.00000,2.42975,2.01552,1.04139,0.65896
235237,0.43035,-0.30259,0.67425,2.18019,0.76549,-362497.37500,5692493.00000,2.55751,1.23427,0.98318,0.61700
238231,0.41327,-0.30222,0.61343,2.11025,0.57867,-446333.28125,5813316.50000,1.75587,2.04560,1.05308,0.66932
235203,0.42961,-0.30194,0.50303,2.53220,0.72507,-363455.18750,5700352.50000,2.89763,1.38486,0.98182,0.61490
14214-1,0.52647,-0.30128,0.66039,2.50682,1.17358,-166287.59375,5433137.00000,2.55388,1.30904,1.00860,0.72997
499-1,0.50336,-0.30042,0.73271,2.42333,1.38629,-24930.96875,5247959.00000,2.33171,1.87225,0.95134,0.65321
235211,0.44287,-0.29997,0.69891,3.09632,0.89239,-344788.06250,5693967.50000,2.42813,1.42534,0.96332,0.60959
