# --------------------------------------------------
# nrow : 111
# ncol : 12
# comment : AMS of AWRA cookies
# time_generated : 2026-07-03 10:51:09
# author : ler015
# source_file : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/scripts/awra/AWR041_ams_cookies.py
# work_dir : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts
# python_environment posix
# python_version : 3.12.9 | packaged by Anaconda, Inc. | (main, Feb  6 2025, 18:56:27) [GCC 11.2.0]
# pandas_version : 3.0.3
# numpy_version : 2.5.0
# python_inc : /home/ler015/miniconda3/include/python3.12
# python_lib : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/.venv/lib/python3.12/site-packages
# --------------------------------------------------
WATER_YEAR_START,203010_PRECIPITATION_TIMEPEAK,203010_PRECIPITATION_PEAK,203010_PRECIPITATION_NVALID,203010_PRECIPITATION_DAYOFYEAR,203010_QTOT_TIMEPEAK,203010_QTOT_PEAK,203010_QTOT_NVALID,203010_QTOT_DAYOFYEAR,203010_SMPFULL_TIMEPEAK,203010_SMPFULL_PEAK,203010_SMPFULL_NVALID,203010_SMPFULL_DAYOFYEAR
1968-10-01,1969-05-15 09:00:00,49.99349,364,226,1969-05-15 09:00:00,1.13562,364,226,1969-05-29 09:00:00,0.64818,364,240
1969-10-01,1969-12-24 09:00:00,53.48727,364,84,1970-02-27 09:00:00,7.41024,364,149,1970-02-27 09:00:00,0.69699,364,149
1970-10-01,1971-02-18 09:00:00,113.72716,364,140,1971-02-19 09:00:00,27.90701,364,141,1971-02-18 09:00:00,0.81225,364,140
1971-10-01,1972-02-13 09:00:00,101.03050,365,135,1972-02-13 09:00:00,38.30509,365,135,1972-02-13 09:00:00,0.81510,365,135
1972-10-01,1972-10-28 09:00:00,99.49238,364,27,1972-10-29 09:00:00,30.68898,364,28,1972-10-28 09:00:00,0.81034,364,27
1973-10-01,1974-03-10 09:00:00,181.90213,364,160,1974-03-11 09:00:00,69.14365,364,161,1974-03-11 09:00:00,0.83407,364,161
1974-10-01,1975-03-03 09:00:00,142.29179,364,153,1975-03-03 09:00:00,63.61458,364,153,1975-03-03 09:00:00,0.83058,364,153
1975-10-01,1976-02-11 09:00:00,169.42969,365,133,1976-02-11 09:00:00,35.09911,365,133,1976-02-11 09:00:00,0.82831,365,133
1976-10-01,1977-02-22 09:00:00,64.11469,364,144,1977-03-12 09:00:00,10.94740,364,162,1977-03-11 09:00:00,0.76982,364,161
1977-10-01,1978-03-18 09:00:00,148.62363,364,168,1978-03-19 09:00:00,63.97023,364,169,1978-03-19 09:00:00,0.83107,364,169
1978-10-01,1979-07-30 09:00:00,102.77893,364,302,1979-01-24 09:00:00,19.81119,364,115,1979-02-06 09:00:00,0.79264,364,128
1979-10-01,1980-05-09 09:00:00,180.59894,365,221,1980-05-10 09:00:00,66.79137,365,222,1980-05-09 09:00:00,0.83778,365,221
1980-10-01,1981-02-15 09:00:00,91.92358,364,137,1981-02-15 09:00:00,21.36003,364,137,1981-02-15 09:00:00,0.80674,364,137
1981-10-01,1982-09-22 09:00:00,49.33228,364,356,1982-03-14 09:00:00,13.12622,364,164,1982-03-14 09:00:00,0.76598,364,164
1982-10-01,1983-06-23 09:00:00,99.85297,364,265,1983-06-23 09:00:00,41.45749,364,265,1983-06-23 09:00:00,0.81524,364,265
1983-10-01,1984-04-09 09:00:00,159.52353,365,191,1984-04-09 09:00:00,48.47275,365,191,1984-04-09 09:00:00,0.83313,365,191
1984-10-01,1984-11-01 09:00:00,82.07982,364,31,1985-03-10 09:00:00,11.41486,364,160,1985-06-04 09:00:00,0.76196,364,246
1985-10-01,1985-10-27 09:00:00,77.66209,364,26,1985-10-27 09:00:00,2.34904,364,26,1986-05-12 09:00:00,0.50698,364,223
1986-10-01,1987-03-05 09:00:00,178.88663,364,155,1987-03-06 09:00:00,52.60911,364,156,1987-03-05 09:00:00,0.83580,364,155
1987-10-01,1988-04-04 09:00:00,127.70819,365,186,1988-04-06 09:00:00,54.88734,365,188,1988-04-04 09:00:00,0.82014,365,186
1988-10-01,1989-04-02 09:00:00,301.58887,364,183,1989-04-02 09:00:00,92.30338,364,183,1989-04-02 09:00:00,0.84291,364,183
1989-10-01,1990-02-03 09:00:00,155.77512,364,125,1990-02-03 09:00:00,40.61061,364,125,1990-02-03 09:00:00,0.82456,364,125
1990-10-01,1991-02-08 09:00:00,115.35593,364,130,1991-02-09 09:00:00,6.24507,364,131,1991-02-09 09:00:00,0.69375,364,131
1991-10-01,1991-12-13 09:00:00,140.03561,365,73,1991-12-13 09:00:00,17.67719,365,73,1991-12-13 09:00:00,0.82245,365,73
1992-10-01,1993-02-07 09:00:00,62.80321,364,129,1993-07-14 09:00:00,4.90819,364,286,1993-07-14 09:00:00,0.66671,364,286
1993-10-01,1994-03-01 09:00:00,65.75983,364,151,1994-03-04 09:00:00,25.09307,364,154,1994-03-03 09:00:00,0.79300,364,153
1994-10-01,1995-02-16 09:00:00,83.18811,364,138,1995-02-16 09:00:00,30.51299,364,138,1995-02-16 09:00:00,0.80613,364,138
1995-10-01,1996-05-03 09:00:00,104.58500,365,215,1996-05-07 09:00:00,46.87452,365,219,1996-05-03 09:00:00,0.81898,365,215
1996-10-01,1996-11-07 09:00:00,51.14578,364,37,1997-02-17 09:00:00,9.21408,364,139,1997-02-17 09:00:00,0.71254,364,139
1997-10-01,1998-02-10 09:00:00,70.92807,364,132,1998-02-11 09:00:00,4.90756,364,133,1998-02-10 09:00:00,0.64875,364,132
