# --------------------------------------------------
# nrow : 111
# ncol : 12
# comment : AMS of AWRA cookies
# time_generated : 2026-07-03 10:51:05
# author : ler015
# source_file : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/scripts/awra/AWR041_ams_cookies.py
# work_dir : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts
# python_environment posix
# python_version : 3.12.9 | packaged by Anaconda, Inc. | (main, Feb  6 2025, 18:56:27) [GCC 11.2.0]
# pandas_version : 3.0.3
# numpy_version : 2.5.0
# python_inc : /home/ler015/miniconda3/include/python3.12
# python_lib : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/.venv/lib/python3.12/site-packages
# --------------------------------------------------
WATER_YEAR_START,RIVER_PRECIPITATION_TIMEPEAK,RIVER_PRECIPITATION_PEAK,RIVER_PRECIPITATION_NVALID,RIVER_PRECIPITATION_DAYOFYEAR,RIVER_QTOT_TIMEPEAK,RIVER_QTOT_PEAK,RIVER_QTOT_NVALID,RIVER_QTOT_DAYOFYEAR,RIVER_SMPFULL_TIMEPEAK,RIVER_SMPFULL_PEAK,RIVER_SMPFULL_NVALID,RIVER_SMPFULL_DAYOFYEAR
1997-10-01,1998-02-10 09:00:00,55.91624,364,132,1998-09-12 09:00:00,4.03073,364,346,1998-04-24 09:00:00,0.64135,364,205
1998-10-01,1999-04-11 09:00:00,88.81920,364,192,1999-04-11 09:00:00,34.67863,364,192,1999-04-11 09:00:00,0.80208,364,192
1999-10-01,2000-01-14 09:00:00,98.95073,365,105,2000-01-14 09:00:00,22.89947,365,105,2000-01-14 09:00:00,0.75261,365,105
2000-10-01,2001-02-02 09:00:00,246.77887,364,124,2001-02-02 09:00:00,62.90022,364,124,2001-02-02 09:00:00,0.82881,364,124
2001-10-01,2002-06-03 09:00:00,52.07132,364,245,2002-06-03 09:00:00,5.36339,364,245,2002-06-03 09:00:00,0.67313,364,245
2002-10-01,2003-06-27 09:00:00,54.00183,364,269,2003-04-29 09:00:00,15.34713,364,210,2003-06-27 09:00:00,0.76542,364,269
2003-10-01,2004-03-06 09:00:00,148.24142,365,157,2004-03-06 09:00:00,31.57625,365,157,2004-03-06 09:00:00,0.81071,365,157
2004-10-01,2005-06-30 09:00:00,178.38344,364,272,2005-06-30 09:00:00,56.56780,364,272,2005-06-30 09:00:00,0.81802,364,272
2005-10-01,2006-01-20 09:00:00,112.49386,364,111,2006-01-20 09:00:00,39.65588,364,111,2006-01-20 09:00:00,0.80930,364,111
2006-10-01,2007-09-23 09:00:00,48.33497,364,357,2007-08-22 09:00:00,2.53789,364,325,2006-11-10 09:00:00,0.64967,364,40
2007-10-01,2008-01-04 09:00:00,98.06795,365,95,2008-01-05 09:00:00,49.97146,365,96,2008-01-05 09:00:00,0.80731,365,96
2008-10-01,2009-05-22 09:00:00,167.77261,364,233,2009-05-22 09:00:00,70.54394,364,233,2009-05-22 09:00:00,0.82434,364,233
2009-10-01,2010-02-07 09:00:00,75.01675,364,129,2010-03-03 09:00:00,17.35434,364,153,2010-03-03 09:00:00,0.75835,364,153
2010-10-01,2010-12-25 09:00:00,74.84957,364,85,2010-12-28 09:00:00,32.69920,364,88,2010-12-28 09:00:00,0.79256,364,88
2011-10-01,2012-01-26 09:00:00,82.71319,365,117,2012-01-26 09:00:00,34.47205,365,117,2012-01-26 09:00:00,0.79986,365,117
2012-10-01,2013-01-28 09:00:00,142.80051,364,119,2013-02-23 09:00:00,44.10912,364,145,2013-02-23 09:00:00,0.80501,364,145
2013-10-01,2014-03-28 09:00:00,122.02937,364,178,2014-08-28 09:00:00,20.43432,364,331,2014-08-28 09:00:00,0.78303,364,331
2014-10-01,2015-05-02 09:00:00,143.33350,364,213,2015-05-02 09:00:00,31.63498,364,213,2015-05-02 09:00:00,0.80973,364,213
2015-10-01,2016-06-05 09:00:00,159.71268,365,248,2016-06-05 09:00:00,38.35351,365,248,2016-06-05 09:00:00,0.95004,365,248
2016-10-01,2017-03-31 09:00:00,270.10452,364,181,2017-03-31 09:00:00,90.66254,364,181,2017-03-31 09:00:00,0.98900,364,181
2017-10-01,2017-10-15 09:00:00,67.96066,364,14,2018-03-07 09:00:00,11.93863,364,157,2018-03-07 09:00:00,0.88493,364,157
2018-10-01,2018-10-15 09:00:00,50.39651,364,14,2018-10-16 09:00:00,10.83798,364,15,2018-10-17 09:00:00,0.87192,364,16
2019-10-01,2020-01-18 09:00:00,108.60570,365,109,2020-02-14 09:00:00,44.24355,365,136,2020-02-14 09:00:00,0.94785,365,136
2020-10-01,2020-12-13 09:00:00,126.78217,364,73,2020-12-15 09:00:00,42.93348,364,75,2020-12-15 09:00:00,0.96436,364,75
2021-10-01,2022-02-28 09:00:00,451.15967,303,150,2022-02-28 09:00:00,160.74335,303,150,2022-02-28 09:00:00,0.99158,303,150
