# --------------------------------------------------
# nrow : 111
# ncol : 12
# comment : AMS of AWRA cookies
# time_generated : 2026-07-03 10:47:02
# author : ler015
# source_file : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/scripts/awra/AWR041_ams_cookies.py
# work_dir : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts
# python_environment posix
# python_version : 3.12.9 | packaged by Anaconda, Inc. | (main, Feb  6 2025, 18:56:27) [GCC 11.2.0]
# pandas_version : 3.0.3
# numpy_version : 2.5.0
# python_inc : /home/ler015/miniconda3/include/python3.12
# python_lib : /datasets/work/lw-resilient-nr/work/0_Common_Data/8_DataProcessingScripts/nrivdatascripts/.venv/lib/python3.12/site-packages
# --------------------------------------------------
WATER_YEAR_START,RICHMOND_PRECIPITATION_TIMEPEAK,RICHMOND_PRECIPITATION_PEAK,RICHMOND_PRECIPITATION_NVALID,RICHMOND_PRECIPITATION_DAYOFYEAR,RICHMOND_QTOT_TIMEPEAK,RICHMOND_QTOT_PEAK,RICHMOND_QTOT_NVALID,RICHMOND_QTOT_DAYOFYEAR,RICHMOND_SMPFULL_TIMEPEAK,RICHMOND_SMPFULL_PEAK,RICHMOND_SMPFULL_NVALID,RICHMOND_SMPFULL_DAYOFYEAR
1965-10-01,1966-06-11 09:00:00,79.82650,364,253,1966-06-11 09:00:00,8.83764,364,253,1965-12-16 09:00:00,0.66343,364,76
1966-10-01,1967-03-19 09:00:00,89.56455,364,169,1967-06-14 09:00:00,40.62801,364,256,1967-03-19 09:00:00,0.79042,364,169
1967-10-01,1968-08-14 09:00:00,79.91476,365,318,1968-01-13 09:00:00,14.01882,365,104,1968-01-13 09:00:00,0.73677,365,104
1968-10-01,1969-05-13 09:00:00,53.48058,364,224,1969-05-15 09:00:00,4.79370,364,226,1969-05-29 09:00:00,0.62413,364,240
1969-10-01,1969-12-24 09:00:00,40.10886,364,84,1970-02-27 09:00:00,4.11712,364,149,1970-02-27 09:00:00,0.60846,364,149
1970-10-01,1971-02-18 09:00:00,74.39626,364,140,1971-02-19 09:00:00,16.47561,364,141,1971-02-18 09:00:00,0.76064,364,140
1971-10-01,1972-04-03 09:00:00,72.29491,365,185,1972-02-13 09:00:00,22.03993,365,135,1972-02-13 09:00:00,0.76891,365,135
1972-10-01,1972-10-28 09:00:00,90.11317,364,27,1972-10-29 09:00:00,34.12460,364,28,1972-10-29 09:00:00,0.78314,364,28
1973-10-01,1974-03-11 09:00:00,157.29520,364,161,1974-03-11 09:00:00,56.83168,364,161,1974-03-11 09:00:00,0.78999,364,161
1974-10-01,1975-03-03 09:00:00,90.70036,364,153,1975-03-03 09:00:00,40.08237,364,153,1975-03-03 09:00:00,0.79052,364,153
1975-10-01,1976-02-11 09:00:00,153.63356,365,133,1976-02-29 09:00:00,36.24252,365,151,1976-02-29 09:00:00,0.77635,365,151
1976-10-01,1977-03-03 09:00:00,78.51370,364,153,1977-03-03 09:00:00,16.48105,364,153,1977-03-11 09:00:00,0.72596,364,161
1977-10-01,1978-03-18 09:00:00,95.10454,364,168,1978-03-19 09:00:00,30.01880,364,169,1978-03-19 09:00:00,0.77885,364,169
1978-10-01,1979-06-21 09:00:00,75.74403,364,263,1979-01-24 09:00:00,10.75616,364,115,1979-02-10 09:00:00,0.73001,364,132
1979-10-01,1980-05-09 09:00:00,139.29309,365,221,1980-05-10 09:00:00,59.15499,365,222,1980-05-09 09:00:00,0.80398,365,221
1980-10-01,1981-02-21 09:00:00,89.24046,364,143,1981-02-21 09:00:00,15.93045,364,143,1981-02-21 09:00:00,0.76305,364,143
1981-10-01,1982-03-14 09:00:00,39.84266,364,164,1982-03-15 09:00:00,8.59008,364,165,1982-03-14 09:00:00,0.70756,364,164
1982-10-01,1983-05-02 09:00:00,79.36300,364,213,1983-06-23 09:00:00,28.56134,364,265,1983-06-23 09:00:00,0.77627,364,265
1983-10-01,1984-04-09 09:00:00,126.00459,365,191,1984-04-09 09:00:00,28.78010,365,191,1984-04-09 09:00:00,0.76317,365,191
1984-10-01,1985-07-09 09:00:00,95.63811,364,281,1985-07-10 09:00:00,14.90131,364,282,1985-07-10 09:00:00,0.70267,364,282
1985-10-01,1985-10-27 09:00:00,70.47057,364,26,1985-10-27 09:00:00,1.74823,364,26,1986-05-12 09:00:00,0.45926,364,223
1986-10-01,1987-03-05 09:00:00,149.70618,364,155,1987-05-11 09:00:00,45.10930,364,222,1987-03-05 09:00:00,0.78433,364,155
1987-10-01,1988-09-15 09:00:00,102.81322,365,350,1988-04-07 09:00:00,52.58560,365,189,1988-04-04 09:00:00,0.78523,365,186
1988-10-01,1989-04-02 09:00:00,161.80908,364,183,1989-04-02 09:00:00,51.59645,364,183,1989-04-02 09:00:00,0.80137,364,183
1989-10-01,1990-02-03 09:00:00,114.32384,364,125,1990-04-06 09:00:00,24.33418,364,187,1990-05-28 09:00:00,0.77052,364,239
1990-10-01,1991-02-08 09:00:00,61.44196,364,130,1991-02-08 09:00:00,5.12039,364,130,1991-06-10 09:00:00,0.61765,364,252
1991-10-01,1991-12-13 09:00:00,104.49126,365,73,1992-04-04 09:00:00,7.45581,365,186,1991-12-13 09:00:00,0.73599,365,73
1992-10-01,1992-11-18 09:00:00,45.78527,364,48,1993-07-14 09:00:00,2.88341,364,286,1993-07-17 09:00:00,0.54657,364,289
1993-10-01,1993-12-08 09:00:00,64.45446,364,68,1994-03-04 09:00:00,16.81852,364,154,1994-03-04 09:00:00,0.74942,364,154
1994-10-01,1995-02-16 09:00:00,95.41473,364,138,1995-02-16 09:00:00,24.17330,364,138,1995-02-16 09:00:00,0.76567,364,138
1995-10-01,1996-05-03 09:00:00,119.12241,365,215,1996-05-03 09:00:00,39.88668,365,215,1996-05-03 09:00:00,0.79359,365,215
